employee_id	entered_at	enter_for
3478	1598312168	reports
1267	1598305088	payment
9872	1598289128	payment
3478	1598290148	reports
5432	1598272148	lunch
9823	1598307008	payment
1002	1598309408	meeting
1002	1598289848	reports
3478	1598295668	meeting
92873	1598307128	reports
1267	1598273468	reports
5432	1598300768	bathroom
1002	1598273108	reports
5432	1598288348	meeting
9823	1598306768	call
9812	1598288228	payment
3478	1598284268	suppliement
1267	1598304188	lunch
8623	1598297348	bathroom
9872	1598301668	bathroom
9823	1598305748	suppliement
9823	1598285948	bathroom
5432	1598295428	bathroom
1002	1598285468	payment
8623	1598273588	lunch
9872	1598297288	bathroom
8623	1598284988	suppliement
1002	1598272568	bathroom
92873	1598306168	meeting
2009	1598301908	call
8623	1598294888	suppliement
2009	1598276648	lunch
1267	1598273648	call
8623	1598313308	call
9812	1598287988	payment
1267	1598278928	lunch
2009	1598291828	lunch
1002	1598273168	bathroom
8623	1598301128	suppliement
2009	1598275208	meeting
2009	1598284328	suppliement
9823	1598289908	payment
9812	1598312408	call
8623	1598303528	reports
5432	1598283668	reports
9812	1598305628	lunch
9823	1598299208	bathroom
5432	1598289128	meeting
1002	1598305688	meeting
1267	1598272508	suppliement
9823	1598307008	call
3478	1598293088	bathroom
5432	1598295008	reports
5432	1598299868	meeting
1267	1598300888	payment
9823	1598306768	lunch
8623	1598290688	bathroom
9823	1598273708	suppliement
2009	1598274488	reports
5432	1598310788	suppliement
8623	1598311208	reports
9823	1598290208	suppliement
92873	1598297768	lunch
9812	1598285888	reports
9812	1598294288	suppliement
9823	1598296688	bathroom
1002	1598281988	suppliement
92873	1598313428	meeting
9823	1598272448	suppliement
9872	1598308148	call
9872	1598305928	lunch
3478	1598283128	suppliement
2009	1598290868	suppliement
5432	1598286008	suppliement
9872	1598308148	lunch
2009	1598279828	bathroom
8623	1598280788	lunch
9823	1598298488	lunch
8623	1598302928	reports
9823	1598277188	bathroom
92873	1598292488	payment
3478	1598306828	meeting
1002	1598282108	call
8623	1598294288	suppliement
92873	1598283608	reports
8623	1598308088	meeting
3478	1598296628	bathroom
8623	1598296508	bathroom
9872	1598309408	payment
1267	1598311808	lunch
92873	1598271428	reports
1002	1598309108	lunch
8623	1598300828	reports
3478	1598278508	meeting
3478	1598297288	suppliement
1002	1598299268	reports
9872	1598296988	call
9812	1598301488	call
8623	1598278208	payment
92873	1598309108	call
92873	1598279168	bathroom
9823	1598284928	call
9823	1598292728	meeting
9823	1598277548	bathroom
92873	1598302808	call
9872	1598281328	payment
9823	1598305748	lunch
1002	1598277488	lunch
1002	1598290628	bathroom
8623	1598291408	lunch
9812	1598313428	lunch
92873	1598292608	lunch
3478	1598292728	call
5432	1598275868	payment
3478	1598306408	payment
3478	1598285588	bathroom
9823	1598292428	reports
9823	1598273168	lunch
92873	1598292428	lunch
9812	1598282948	call
9812	1598298728	reports
1002	1598275028	call
1002	1598296508	call
5432	1598286608	bathroom
3478	1598303348	lunch
1267	1598289488	lunch
1267	1598271308	call
9823	1598310848	bathroom
9823	1598280968	meeting
1002	1598295728	suppliement
1267	1598270528	call
2009	1598306888	call
3478	1598289128	call
92873	1598283488	suppliement
92873	1598302088	payment
2009	1598278328	reports
9812	1598295968	meeting
9812	1598276888	lunch
8623	1598273108	suppliement
5432	1598296268	call
1267	1598312528	payment
9823	1598294408	bathroom
3478	1598310428	call
9812	1598306888	call
9872	1598306228	bathroom
2009	1598313008	payment
9812	1598287328	reports
9872	1598313248	reports
5432	1598294888	lunch
5432	1598286848	bathroom
3478	1598280248	meeting
8623	1598281688	bathroom
5432	1598311508	reports
9812	1598296208	reports
5432	1598303708	reports
9812	1598294408	payment
9823	1598300168	lunch
9823	1598304128	meeting
9872	1598290088	bathroom
3478	1598302868	call
8623	1598294228	bathroom
5432	1598294768	payment
9823	1598274428	bathroom
9812	1598284688	bathroom
3478	1598299928	payment
9872	1598286488	bathroom
9823	1598275988	meeting
9872	1598282588	call
3478	1598271848	lunch
5432	1598304308	meeting
9812	1598306948	payment
2009	1598274788	call
2009	1598293928	suppliement
5432	1598287868	payment
9812	1598287508	call
8623	1598299688	call
8623	1598306648	payment
92873	1598274548	reports
9823	1598293148	bathroom
8623	1598291948	meeting
2009	1598305928	meeting
5432	1598312228	meeting
8623	1598297888	lunch
5432	1598298068	suppliement
1002	1598285348	payment
8623	1598307428	reports
3478	1598293028	payment
9823	1598286788	lunch
92873	1598312288	payment
2009	1598303168	payment
8623	1598291348	payment
3478	1598309948	call
1267	1598274368	lunch
3478	1598276588	payment
5432	1598281568	lunch
8623	1598279408	bathroom
1267	1598298968	call
2009	1598272868	call
1002	1598287568	payment
2009	1598304368	bathroom
9823	1598280608	call
1002	1598294648	lunch
9812	1598300888	suppliement
3478	1598275208	call
3478	1598270588	reports
9872	1598272928	call
2009	1598305268	payment
92873	1598292968	bathroom
2009	1598291048	payment
9872	1598307668	lunch
92873	1598308808	reports
2009	1598282408	meeting
1267	1598307188	reports
3478	1598281028	payment
1002	1598271488	call
1002	1598272388	meeting
9823	1598302148	call
2009	1598283728	payment
5432	1598292428	call
1267	1598308568	suppliement
92873	1598284808	call
1002	1598305988	meeting
3478	1598295488	call
92873	1598273348	lunch
1002	1598277188	bathroom
1267	1598286368	suppliement
9872	1598284328	reports
9823	1598286608	lunch
5432	1598313248	reports
9823	1598272388	lunch
3478	1598282948	call
92873	1598273288	reports
8623	1598294708	payment
8623	1598282048	meeting
1267	1598281148	lunch
1267	1598296628	bathroom
1002	1598313188	lunch
8623	1598285468	payment
9823	1598281928	suppliement
9812	1598295308	call
92873	1598304428	lunch
9872	1598300768	meeting
92873	1598311688	payment
9872	1598279108	bathroom
9823	1598309108	bathroom
5432	1598300768	payment
2009	1598294408	lunch
9872	1598302748	payment
5432	1598288768	lunch
9872	1598271788	lunch
3478	1598290148	bathroom
1002	1598306648	meeting
3478	1598290748	payment
5432	1598297888	suppliement
1267	1598304068	reports
2009	1598271308	suppliement
92873	1598313188	reports
92873	1598312528	lunch
5432	1598290088	meeting
92873	1598275208	lunch
92873	1598289668	meeting
9872	1598306828	reports
1002	1598295908	call
1002	1598287148	call
9812	1598290628	call
1002	1598279408	bathroom
3478	1598290208	payment
9823	1598312468	bathroom
1002	1598306528	call
1002	1598271368	lunch
1002	1598309948	reports
5432	1598310428	lunch
8623	1598280128	call
9872	1598295608	meeting
2009	1598286308	payment
8623	1598276528	payment
8623	1598274668	bathroom
1002	1598291888	call
1002	1598292668	lunch
3478	1598313128	bathroom
9872	1598287088	bathroom
9823	1598294108	reports
9812	1598282048	bathroom
1267	1598297828	meeting
9812	1598305688	suppliement
9872	1598290208	lunch
5432	1598281688	lunch
5432	1598287688	call
9823	1598287808	meeting
1002	1598282888	suppliement
9823	1598282468	call
9812	1598313308	lunch
9872	1598311568	meeting
92873	1598275088	call
3478	1598286308	call
1002	1598305388	bathroom
1267	1598290508	meeting
1267	1598276348	reports
1002	1598283428	call
9823	1598312108	reports
1267	1598273888	lunch
5432	1598278148	meeting
5432	1598310128	meeting
1002	1598272868	meeting
92873	1598296268	bathroom
9823	1598292608	reports
3478	1598302928	suppliement
1267	1598304548	reports
2009	1598308568	reports
5432	1598289128	lunch
2009	1598284208	lunch
9823	1598297408	bathroom
9812	1598283608	suppliement
1267	1598287928	call
1002	1598273648	meeting
9823	1598301968	bathroom
9872	1598288648	bathroom
92873	1598296988	call
2009	1598302388	reports
5432	1598284568	reports
2009	1598285288	meeting
3478	1598295248	lunch
5432	1598303348	meeting
92873	1598302268	meeting
9872	1598297768	meeting
9872	1598290268	reports
5432	1598298248	reports
2009	1598292248	call
9812	1598307728	bathroom
2009	1598292248	lunch
1267	1598285228	call
5432	1598304548	lunch
3478	1598271848	suppliement
1267	1598298128	bathroom
2009	1598295968	call
8623	1598278148	payment
9823	1598284568	payment
8623	1598296568	call
92873	1598275028	lunch
2009	1598304728	meeting
92873	1598295968	payment
5432	1598301128	suppliement
9872	1598312888	lunch
9812	1598286548	lunch
3478	1598282108	meeting
3478	1598300828	bathroom
9812	1598302208	meeting
8623	1598295068	meeting
5432	1598294768	bathroom
1002	1598274908	suppliement
5432	1598279768	suppliement
2009	1598289188	payment
9823	1598282168	reports
1267	1598308208	meeting
9872	1598297588	call
9812	1598272688	suppliement
9823	1598307728	payment
9812	1598303108	call
2009	1598291648	lunch
5432	1598296028	lunch
1002	1598294228	bathroom
9872	1598293328	payment
92873	1598301368	payment
92873	1598274368	reports
92873	1598301848	lunch
9872	1598296328	call
1267	1598298548	suppliement
2009	1598274848	bathroom
9812	1598280128	payment
9812	1598304008	suppliement
92873	1598271788	meeting
5432	1598297228	suppliement
9823	1598296448	call
5432	1598273288	payment
2009	1598305028	meeting
1267	1598278208	meeting
2009	1598298488	reports
1267	1598289188	lunch
1267	1598308508	suppliement
3478	1598291288	lunch
8623	1598282528	meeting
2009	1598283968	call
1267	1598299448	call
5432	1598302748	bathroom
92873	1598299928	call
5432	1598282648	call
9872	1598310668	call
1002	1598287268	lunch
9872	1598290748	bathroom
9872	1598304128	bathroom
1002	1598285168	call
8623	1598290268	bathroom
9872	1598302088	suppliement
8623	1598295788	reports
1267	1598290928	suppliement
2009	1598311568	meeting
9872	1598274308	reports
1002	1598282288	meeting
2009	1598295428	meeting
1002	1598284028	reports
9823	1598294288	call
1267	1598299808	payment
3478	1598301788	lunch
8623	1598282168	payment
92873	1598291768	meeting
1267	1598274728	reports
2009	1598313248	reports
9823	1598277788	bathroom
1002	1598275988	payment
92873	1598286248	reports
9823	1598310908	bathroom
92873	1598288588	payment
9872	1598294468	call
9823	1598301428	meeting
5432	1598298848	meeting
5432	1598302268	payment
3478	1598282408	lunch
9872	1598307908	lunch
9823	1598284508	reports
5432	1598289608	suppliement
2009	1598291408	payment
9872	1598293148	payment
8623	1598290148	suppliement
5432	1598286728	bathroom
8623	1598309768	suppliement
5432	1598271248	lunch
9872	1598312468	meeting
1267	1598278268	lunch
92873	1598295788	payment
9812	1598295188	payment
1267	1598280488	call
1267	1598310668	lunch
9812	1598311928	suppliement
1267	1598278088	reports
9812	1598284508	suppliement
9812	1598308328	bathroom
1002	1598297648	bathroom
5432	1598309288	call
5432	1598295128	lunch
9812	1598273528	reports
3478	1598279948	bathroom
8623	1598304848	reports
9812	1598291708	payment
5432	1598291348	payment
9823	1598306648	lunch
9872	1598287388	lunch
5432	1598297048	reports
2009	1598281868	suppliement
9872	1598292188	payment
1267	1598272748	suppliement
92873	1598287628	bathroom
2009	1598307968	suppliement
92873	1598272628	lunch
1267	1598288828	meeting
3478	1598301848	lunch
8623	1598284448	lunch
92873	1598298728	suppliement
92873	1598286428	reports
9812	1598313248	lunch
9823	1598285888	bathroom
5432	1598272928	reports
1002	1598287688	reports
1267	1598288528	call
5432	1598279648	reports
9823	1598293568	reports
8623	1598288228	call
1002	1598299988	suppliement
2009	1598292488	payment
5432	1598289308	payment
9823	1598308148	lunch
9812	1598282888	suppliement
3478	1598280308	meeting
3478	1598297948	suppliement
2009	1598307488	suppliement
2009	1598303528	call
5432	1598279828	lunch
3478	1598301188	call
92873	1598282708	reports
92873	1598299028	reports
9823	1598287748	meeting
2009	1598291948	lunch
9823	1598281448	payment
9872	1598274488	reports
2009	1598293808	lunch
2009	1598295548	suppliement
9872	1598309828	meeting
9872	1598299928	call
1002	1598308748	bathroom
2009	1598274608	call
1267	1598302148	bathroom
8623	1598305388	reports
9872	1598274428	reports
9812	1598293208	reports
9823	1598313548	suppliement
1002	1598282348	bathroom
92873	1598300888	reports
3478	1598304248	meeting
9823	1598278928	bathroom
92873	1598303828	meeting
9872	1598272328	lunch
3478	1598309348	bathroom
92873	1598294228	payment
8623	1598282768	bathroom
9812	1598293568	lunch
92873	1598277788	lunch
9812	1598305628	bathroom
1267	1598310488	suppliement
8623	1598278028	payment
2009	1598288528	bathroom
9872	1598296088	meeting
2009	1598284808	meeting
2009	1598274728	payment
9812	1598284388	meeting
2009	1598297768	bathroom
8623	1598294528	call
9812	1598280188	call
9812	1598292008	call
9872	1598311808	suppliement
9823	1598291768	lunch
9872	1598300468	reports
9812	1598280908	reports
9823	1598293748	bathroom
2009	1598276168	bathroom
1002	1598293688	suppliement
8623	1598282948	meeting
9823	1598299508	bathroom
8623	1598303048	call
3478	1598296928	reports
3478	1598304128	payment
9812	1598304068	bathroom
5432	1598278508	suppliement
2009	1598290328	bathroom
92873	1598273348	meeting
9812	1598286308	bathroom
9872	1598306648	call
1002	1598303048	call
2009	1598295908	payment
1267	1598299328	bathroom
9823	1598280188	bathroom
8623	1598305328	bathroom
1002	1598298308	call
5432	1598311868	reports
1002	1598307368	bathroom
1002	1598299448	suppliement
8623	1598289008	call
9872	1598270528	payment
5432	1598275688	call
9812	1598304248	meeting
2009	1598276168	meeting
9823	1598278148	lunch
2009	1598312648	suppliement
1002	1598284688	meeting
2009	1598302568	meeting
5432	1598309528	meeting
2009	1598278448	payment
2009	1598286848	lunch
2009	1598289308	meeting
8623	1598274368	suppliement
1267	1598284148	lunch
5432	1598288468	bathroom
92873	1598307128	meeting
3478	1598301668	meeting
1267	1598290628	bathroom
5432	1598277368	payment
3478	1598312648	lunch
9872	1598276228	payment
1002	1598289248	call
1002	1598309528	meeting
2009	1598301128	bathroom
1267	1598289908	suppliement
9812	1598277068	call
9812	1598292968	suppliement
